"place_id","name","alt_name","type","address","suburb","postcode","region","latitude","longitude","summary_html","history_html","source_html"
2,"Army hut","moved to site postwar","Military accommodation","79 Sussex Street",Acacia Ridge,4110,Brisbane City,-27.5385494232178,153.050521850586,,,
4,"Public Pill Shelter","Archerfield Quarry","Civil defence facility","174 Mortimer Road",Acacia Ridge,4110,Brisbane City,-27.5771503448486,153.015762329102,,,"<p>BCC Heritage Unit citation; BCC Works Dept Plan</p>"
6,"United States (US) 13th Station Hospital","Base 2 Head Quarters (1945); Current site of Holy Spirit Primary School","Medical facility","Ross River Road (cnr Hatchett Street)",Aitkenvale,4814,Townsville,-19.3012313842773,146.754516601562,"<p>Patients of the acute medical or surgical class in the Townsville area were hospitalised at the United States (US) 13<sup>th</sup> Station Hospital located on the corner of Ross River Road and Hatchett Street.</p>","<p>The US 13<sup>th</sup> Station Hospital at Aitkenvale initially consisted of 250 beds in late March 1942.</p><p>This could expand in an emergency with 200 extra beds.</p><p>Raised walkways connected the prefabricated 'tropical' wards with ramps to assist trolleys and wheelchairs.</p><p>There were initially twelve ward 'tents' with floors, frames and screens.</p><p>A staging area and camp for two mobile hospital ships (89<sup>th</sup> & 96<sup>th</sup>) was located on land across the road from this hospital (in the vicinity of Ross River Road) which totalled 47 acres.</p><p>By June 1943, the hospital had 450 beds which included separate wards, an administration, surgery, x ray, laboratory, post office, clothing warehouse and patient recreation huts. A performance stage and movie screen had also been constructed to entertain patients.</p><p>Two buildings were transferred to this hospital from the 85<sup>th</sup> Station Hospital at Majors Creek/Woodstock when it began to close in January 1944.</p><p>This included the former Chapel and a building which became the Red Cross facility.</p><p>Hospital patients did not just include those wounded by the enemy.</p><p>The hazards of mosquito born disease and 'malaria discipline' were taken seriously as it reduced operational capability.</p><p>Malaria education packs of repellent and malariol tablets were supplied to all troops to prevent infection.</p><p>Base Surgeon records noted that wool gloves were to be issued to soldiers in Townsville to prevent mosquito infection.</p><p>These were to be used instead of proper mosquito gloves, until stocks of the former were exhausted.</p><p>Somewhat obviously, the Surgeon noted that it would be:</p><blockquote><p>doubtful that wool gloves would be used by an American soldier in a tropical climate without stern disciplinary measures.</p></blockquote><p>The 13th Station Hospital began a staged closure between April and June 1944.</p><p>Patients were then transferred to the US 44<sup>th</sup> General Hospital at Black River.</p><p>The closure of the hospital saw several US installations relocate to this site and vacate civilian buildings in the city.</p><p>On 7 July 1944 US Base Intelligence occupied one of the former buildings.</p><p>In December 1944 this Office interrogated a number of Chinese who had been formerly prisoners of the Japanese and were captured in New Guinea.</p><p>The interrogation was to ascertain whether they could divulge any information of interest to US Intelligence.</p><p>Additionally it was to determine if they were loyal and suitable for employment (mainly as labourers) within the United States Army.</p><p>In July 1944 the APO 922 Postmaster was moved into a building formerly used to hold medical supplies.</p><p>In the same month the entire Base Headquarters including the Chaplains' Office were also moved to the site.</p><p>The Holy Spirit Catholic Primary School now occupies the site.</p><p>Recent construction works have uncovered building remains from the former hospital.</p>","<p><cite>Base Two, The Bayonet of Australia, Volume One, Notes from American War Records of World War Two, Vol 1.</cite>, [Typescript held in North Queensland Collection, James Cook University].</p><p><cite>Base Two, The Bayonet of Australia, Volume One, Notes from American War Records of World War Two, Vol 3 Chaplains' Office.</cite>, [Typescript held in North Queensland Collection, James Cook University].</p><p><cite>Base Two, The Bayonet of Australia, Volume One, Notes from American War Records of World War Two, Vol 4.</cite>, [Typescript held in North Queensland Collection, James Cook University].</p><p>Ray Holyoak (contributing author).</p>"
9,"Aitkenvale Weir Airfield","Weir State School","Airfield","In vicinity of Ross River Road near Weir State School",Aitkenvale,4814,Townsville,-19.3150787353516,146.735382080078,"<p>This is an important local WW2 historic place. If you have information or images, modern or contemporary, please contact us at <a href=""mailto:heritage@ehp.qld.gov.au"">heritage@ehp.qld.gov.au</a>.</p>",,"<p>AWM photographic reference.</p>"
10,"Fifth Division Head Quarters","Aitkenvale Park","Headquarters","near Aitkenvale Library, near Ross River Road & Aitkenvale Park",Aitkenvale,4814,Townsville,-19.2925321863452,146.771855950356,"<p>This is an important local WW2 historic place. If you have information or images, modern or contemporary, please contact us at <a href=""mailto:heritage@ehp.qld.gov.au"">heritage@ehp.qld.gov.au</a>.</p>",,
12,"Breakfast Creek Brothels","Breakfast Creek Hotel carpark","Recreation/community","2 Kingsford Smith Drive",Albion,4110,Brisbane City,-27.4401569366455,153.045806884766,"<p>Before World War Two, prostitution in Brisbane fell into two categories. There were brothels that were tolerated by the Queensland Government and known to the police and health authorities. As well, there were individual street prostitutes.</p><p>The Breakfast Creek Hotel carpark had two such brothels, that serviced troops from Camp Ascot Park, Camp Doomben and Eagle Farm Airfield.</p>","<p>Brothels had existed in Brisbane prior to World War Two under the watchful eye of the Queensland Police. A crisis arose in September 1942, when Brisbane's prostitutes could not cope with the large numbers of Allied servicemen arriving in Brisbane. The Federal Government entrained Sydney prostitutes on the 'Curtin Special' to head to Brisbane to aid the war effort. Established brothels remained close to the City Centre but a number of short-term brothels operated close to some of the large military camps located in the suburbs.</p><p>During 1942, as Brisbane was the headquarters for the South West Pacific Area (SWPA) Command, it developed into a major Allied base. The burgeoning numbers of Australian and American soldiers either working or on leave in Brisbane placed heavy pressure on the local accommodation and recreation facilities. By September 1942, there were approximately 250,000 servicemen based in or near Brisbane, a figure close to Brisbane's entire population in 1939.</p><p>Brisbane's prostitutes could not cope with the overwhelming demand in servicemen's business. In September 1942, the Queensland Government made informal appeals to the Commonwealth Government for assistance with this sensitive issue. A representative of the Curtin Government made approaches to the Sydney underworld, particularly the well-known Thommo's two-up school in Surrey Hills. Soon Sydney prostitutes were volunteering for service in Brisbane. The Federal Government hired a train (unofficially dubbed the Curtin Special), paid the train fares of the girls and arranged cheap accommodation in Brisbane. Though paid low wages, the prostitutes were urged to increase their earning capacity through a frequent turn-over of clients.</p><p>Wartime brothels were located in either pre-war establishments located close to the City or were placed in the suburbs close-by to a large military camp. The former included brothels in Ernest and Nott Streets at South Brisbane and at 'Killarney' in Fish Lane at South Brisbane. In the City, there was a brothel in 'Ballarat House' in Margaret Street with servicemen lined up at the door holding a &163;2 note to prove that they could pay. 'Elsie's' was located in Albert Street in the block running between Margaret and Mary Streets. It was marked with a green painted door entrance. The door sat above the footpath on a concrete step so that the clients could not easily run out of 'Elsie's' without paying. Australian singer and harmonica player Horrie Dargie was an Australian soldier on leave in Brisbane when one day he passed 'Elsie's' and wondered what went on behind the green door. Horrie Dargie became a popular 1950s Australian recording artist. He laid claim to writing the popular song The Green Door and based it on 'Elsie's' brothel. This song became a world-wide hit, most notably for British pop star Shakin' Stevens in July 1981.</p><p>In the suburbs, there were brothels at Breakfast Creek, Bulimba and at Chermside. Two brothels operated at the rear of the Breakfast Creek Hotel. The prostitutes serviced the US troops from Camp Ascot Park, Camp Doomben and Eagle Farm Airfield. The brothels were located close to a local school. But as the US servicemen were lining up along the street to use the brothels in full public view, there was a community outcry and the brothels closed. Two separate brothels serviced the Chinese workers Camp attached to the US Army barge factory at Bulimba. One brothel was run in the open from a gully along Lytton Road. The other brothel had a Madam collect customers in her Buick that was parked at the corner of Lytton and Apollo Roads. The Chermside brothel was in an old house at the corner of Gympie and Hamilton Roads diagonally across from the local police station. It serviced the large Camp Chermside that had been established by the Australian Army in October 1940. 'Holland House' at 92 Yundah Street, Sandgate attracted servicemen who were on leave at the seaside.</p><p>Due to concerns about the spread of sexually transmitted diseases, most large camps had a Blue Light Tent that issued condoms to personnel. The US Navy operated a Prophylactic Station in South Brisbane from 3 October 1944 to 16 June 1945. 'Yungaba' at Kangaroo Point was requisitioned by the Australian Army's 126th Army Special Hospital (ASH) that ran a Venereal Disease (VD) Clinic for servicemen. Servicewomen were treated at the small VD isolation ward at the 'Ryndarra' hospital at Yeronga.</p><p>The incidence of individual or street prostitution in Brisbane was over-exaggerated during the war. Petty jealousy, xenophobia and moral intolerance led to accusations of prostitution made against Australian women who were simply dating American servicemen.</p>","<ul><li>Jonathan (Jack) Ford, Marching to the Trains - the Chermside Army Camp Remembered, (Brisbane; Jack Ford, 2005).</li><li>John Hammond Moore, Over-Sexed, Over-Paid & Over Here&#8212;Americans in Australia 1941&#8211;1945, (St. Lucia: University of Queensland Press, 1981).</li><li>US Navy, Bureau of Yards and Docks Section, US Naval Base, Navy 134, Brisbane, Defense Aid - Reciprocal and Review Board Report - General, (1946).</li><li>Dunn,P. <a href=""http://www.ozatwar.com/ozatwar/brothelsbrissy.htm"">Brothels located in Brisbane during WW2</a></li><li>Brisbane History Group, The Sandgate/Shorncliffe Heritage Tour, (Brisbane: Brisbane History Group, 1990).</li></ul>"
13,"Public Cantilever Shelters (2)","Breakfast Creek shelters","Civil defence facility","Hamilton Road(Kingsford Smith Drive)",Albion,4010,Brisbane City,-27.4411125183105,153.045974731445,,,"<p>BCC list</p>"
15,"Chemical Warfare Section (CWS) Depot and RAAF No.5 Transportation and Movement Office (TMO) Headquarters","Crosby Park","Headquarters","Royal Terrace",Albion,4010,Brisbane City,-27.4344902038574,153.047058105469,"<p>The role of the US Chemical Warfare Service (CWS) in the South West Pacific Area was complicated by the fact that its task to develop, repair and issue protective and offensive items was shared with the US Army Quartermaster service. Thus for example, while the CWS was responsible for the storage of chemical grenades from September 1943, the storage of chemical and incendiary bombs was the province of Ordnance. The CWS however was responsible for the inspection and servicing of those munitions. Other elements of the Service were responsible for the provision of chemical warfare training to rear-echelon troops and for those advancing through Base 3 (Brisbane) to active theatres of war.</p>","<p>Crosby Park, in the centre of a populous Brisbane suburb, was one of a number of local parks leased by the US Army. Despite its proximity to a large population base this park was designated as a Chemical Warfare Centre, and stored quantities of poisonous chemicals and gases during its time of occupation. Construction of the Centre commenced in early 1943, and by October its operation was in the hands of 62nd Chemical Depot Company, aided by elements of the 105th Chemical Processing Company and the 10th Chemical Maintenance Company. Included on the site was a gas mask repair shop of approximately 96&#8242; x 48&#8242;, used by the 10th Chemical Maintenance Company. There the Company repaired and provided waterproof seals for gas mask canisters.</p><p>The 10th Chemical Maintenance Company trained at Edgewood Arsenal and arrived in Australia in April 1942 and moved to Brisbane as part of Base Section 3 to repair the gas masks or respirators, and assist the operations of the 62nd Chemical Depot Company and the Chemical Warfare Centre. It was one of only two Chemical Maintenance companies to operate in the South West Pacific. Maintenance companies were also intended to function as salvage and repair centres holding skilled mechanics for the latter task. The company strength varied from 123 in 1942 to 93 in November 1944.</p><p>The failure of the chemical-based M1A1 portable flame-thrower during the New Guinea campaign left the 10th Chemical Maintenance Company tasked with a major repair project. Throughout 1943 it tested the weapon and overhauled all units in the South West Pacific Area. Heat and humidity was causing the corrosion of the nitrogen, hydrogen, and fuel cylinders used on the flame-throwers, and deterioration of the batteries. The 10th developed a test kit for soldiers in the field to be able to quickly identify defective cylinders, which were then sent back for repair. The weapon was also waterproofed so that it could be totally immersed and still work, overcoming a significant problem that had beset the use of flamethrowers in the tropics. Many of the flame-thrower units arriving from the United States were found to be faulty and required repair before issue. The work undertaken by the 10th proved the weapon could be made reliable and the US Sixth Army re-equipped its infantry divisions to take advantage of the tactical advantage the weapon gave in combat operations. This in turn required the l0th Chemical Maintenance Company to run operators classes for flame-throwers at the Chemical Warfare Centre.</p><p>By early 1944 the requirement for specific chemical warfare tasks slowed and the unit began to undertake general garrison duties. In August 1944 the 10th Chemical Maintenance Company was withdrawn from Brisbane and sent to New Guinea.</p>","<p>G Plunkett, <cite>Chemical Warfare in Australia</cite>, Australian Military History Publications, Loftus, 2007</p><p>B E. Kleber And D Birdsell, <cite>The Chemical Warfare Service: Chemicals In Combat, Center Of Military History</cite>, United States Army, Washington, D.C., 1966</p><p>R Marks, <cite>Brisbane&#8212;WW2 v Now, Vol 5, Crosby Park&hellip;chemical warfare depot</cite>.</p>"
16,"Public Pill Shelter","cnr Bridge Street and Hudson Road","Civil defence facility","Hudson Road",Albion,4035,Brisbane City,-27.4253253936768,153.041870117187,,,"<p>BCC list</p>"
17,"56th Searchlight Company (Royal Australian Engineers)","Bartley's Hill Reserve","Fortifications","Blair Street",Albion,4010,Brisbane City,-27.4317092895508,153.052368164062,"<p>This is an important local WW2 historic place. If you have information or images, modern or contemporary, please contact us at <a href=""mailto:heritage@ehp.qld.gov.au"">heritage@ehp.qld.gov.au</a>.</p>",,"<p>AWM photographic reference</p>"
